job_id,title,company,location,date_posted,link
d074a66c04964a58,2026 | EMEA | Zurich | Wealth Management | Summer Analyst,Goldman Sachs,"Zürich, ZH",,https://ch.indeed.com/rc/clk?jk=d074a66c04964a58&bb=gw4jgG1NdsExELt9krblJlSAIT4LLUsJE_I_VHT0y13fIz_HyYeVBf6Lhf4jMmZFApFLKsT-q5aF8jcDmDUPb8Z5x0LSkTfKkq_nQQnkAStjQOaWL4obyWqbng8BUCRvwB2HcCQpkgU%3D&xkcb=SoBA67M3t_-stNT4Nh0AbzkdCdPP&fccid=16a97ed26c75bf2d&vjs=3
9981323239491e23,Consultant Data Analysis - Zurich,EY,"8005 Zürich, ZH",,https://ch.indeed.com/rc/clk?jk=9981323239491e23&bb=gw4jgG1NdsExELt9krblJiTUtF8TZc8-xSrhPr1xPMF4GBAW_0-bCBCPCGXIojtvcaGoQKH4AGSX1kmBXHrrCnLQ6FvBYJUXzOgFD2jnR55HPOds-__n59apSG0aoRTahrlcKC5Zeo0%3D&xkcb=SoDO67M3t_-stNT4Nh0HbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
ed9b33d59ee0f323,Solution Architect Data,SR Technics,"Zürich, ZH",,https://ch.indeed.com/rc/clk?jk=ed9b33d59ee0f323&bb=gw4jgG1NdsExELt9krblJtOQoqnVsifNxdyt3ps-lb3NQ4Vnn4LuoN7wldNZ-8_PdHDiVUNmx4m2d53-sbf2CJbFLTMjEZrDRVUOTBYw0xvzrxT5-WbeJVrRZb1HOuLinmEvitrzdhM%3D&xkcb=SoB667M3t_-stNT4Nh0GbzkdCdPP&fccid=fdefbe033b6dba88&vjs=3
b22b2238994be334,Client Onboarding Intermediate Analyst,Citigroup,"Zürich, ZH",,https://ch.indeed.com/rc/clk?jk=b22b2238994be334&bb=gw4jgG1NdsExELt9krblJux4138hmVCysEI270_Ns9LPov5Ccm5lVFsuZ46yInVk7fbYGnFZbw9ce9IBZEO_A73Ru6T1ZwJ-HWK-r83yVYB4jgiaiA8PO8EnH-XNOaBCSr6HQwsWz2g%3D&xkcb=SoDn67M3t_-stNT4Nh0FbzkdCdPP&fccid=5bcd1ef0a7f4fb99&vjs=3
2cfc3f3a0eb32a66,Chargé de projet data analyst (f/h),Auctae Switzerland Sàrl,"Biel/Bienne, BE",,https://ch.indeed.com/rc/clk?jk=2cfc3f3a0eb32a66&bb=aA6NNEM31wuF-aC3UcAKW5JesmWPcHIVOTop6Yr0XVKPA0CGFbqeqD0s9Xwy384x4kIYi5l6rBzBQeK9J0pP40qbvbtMWG6WSKEteKUKSmM1U44lWvWLYQ-AEYnNsKKcB9e_xZdHGPwRZKTOq3FJ3w%3D%3D&xkcb=SoCZ67M3t_-rfez4Fh0LbzkdCdPP&fccid=24e597c669a74f2c&vjs=3
05e4a28a6d74d58d,Junior Data Scientist,Interdiscount,"3303 Jegenstorf, BE",,https://ch.indeed.com/rc/clk?jk=05e4a28a6d74d58d&bb=aA6NNEM31wuF-aC3UcAKWx4FSwIJFQ0VLzxKu7vtAEcVoQOiKswrU1ZJsGIG76jxwAQfV7M1F0crUO36NxV3u2E0XXuwpEnQ3LYxS-2k7O12Nvu_ktl97lBAVzOpZHDna4mll-gGLWLb3Nt3AgY5tw%3D%3D&xkcb=SoAt67M3t_-rfez4Fh0KbzkdCdPP&fccid=48d9809dfa00d436&vjs=3
4b7b4ca7cdf38311,Observability Analyst im Bereich «Operations Control Center» (m/w/d),LC Systems,"Bern, BE",,https://ch.indeed.com/rc/clk?jk=4b7b4ca7cdf38311&bb=aA6NNEM31wuF-aC3UcAKWy5-y9yBFBdSp-51fH90ax447cIt0ypFs8-XdfI48LzsP7ttMwTXkIZlZlCYV4rQT8-hvtStUcj09_paDVRHUddN4u3vaQPnAYdElI9LFubhCJ6vBC1euw4%3D&xkcb=SoCw67M3t_-rfez4Fh0JbzkdCdPP&fccid=f98570f3d69ed701&vjs=3
98d97ebd1d074fed,Senior Business Analyst,ELCA Informatique SA,"Hybrid work in Bern, BE",,https://ch.indeed.com/rc/clk?jk=98d97ebd1d074fed&bb=aA6NNEM31wuF-aC3UcAKWxmFEOVuLMaaAY-KbwEGgKYkGqTSR4wlqKbehL3OQPbBtl8uX-Rzq0VQLb8nQ9rQR-vjVG0UjaVGl52SH9O9AgZREuMoylUwwerbrbvTRZlPA1PTWzdZeLx3voUA4iBaNg%3D%3D&xkcb=SoAE67M3t_-rfez4Fh0IbzkdCdPP&fccid=4166c1cedc279c9f&vjs=3
ef1b3b9367770111,Business Analyst Bahnbereich,AKROS,"Bern, BE",,https://ch.indeed.com/rc/clk?jk=ef1b3b9367770111&bb=aA6NNEM31wuF-aC3UcAKW-giOkz2-7Es6iOnbSOcoYkeLv_zGXZKY0g-mHquPcAw-NDACnvxqsXdYDzjZdbPTXWiMACgEXobzwneiBRj-VNp1pJLQcLjBhIw5W1nytBU1QrXkfiX7Wo%3D&xkcb=SoCK67M3t_-rfez4Fh0PbzkdCdPP&fccid=84d367e3505c0b4f&vjs=3
8d6861907521d19a,Market Intelligence Manager,Ypsomed,"Burgdorf, BE",,https://ch.indeed.com/rc/clk?jk=8d6861907521d19a&bb=aA6NNEM31wuF-aC3UcAKW1MQTNLNTKA0f9mNkTkDPlaMKfxJP1XduDzPaJrG5fU3HNh-6Eo2qQwCNaqLubpDcQc3B---9CU7O76CdXCpAe3EpNEPQmgRj0Q3lkAIt0Cs9Bjm19yaTLFITYwjixBvAQ%3D%3D&xkcb=SoA-67M3t_-rfez4Fh0ObzkdCdPP&fccid=b32027b15766379a&vjs=3
